workload,group,stage,n,p50_ms,p95_ms,raw_ms,calls
review_repair,warm,native.rebuild,5,555.7406,566.1862199999999,"[532.9733, 559.1183, 555.7406, 547.4346, 567.9531999999999]","[12, 12, 12, 12, 12]"
review_repair,warm,native.save,5,885.8568,897.22072,"[881.7565, 876.9014, 897.6326, 895.5732, 885.8568]","[6, 6, 6, 6, 6]"
review_repair,warm,observation.decide,5,1784.8328999999999,1796.68432,"[1791.8088, 1784.8328999999999, 1783.8108, 1754.2566, 1797.9032000000002]","[3, 3, 3, 3, 3]"
review_repair,warm,repair.prepare,5,0.2076,0.26768000000000003,"[0.2701, 0.258, 0.1812, 0.2076, 0.1973]","[1, 1, 1, 1, 1]"
review_repair,warm,repair.validate,5,0.9158,0.98402,"[0.9896, 0.9158, 0.8219, 0.9617, 0.906]","[6, 6, 6, 6, 6]"
review_repair,warm,review.coverage,5,0.1925,0.25973999999999997,"[0.2755, 0.1925, 0.1553, 0.19669999999999999, 0.1618]","[2, 2, 2, 2, 2]"
review_repair,warm,review.diff,5,0.2187,0.23686,"[0.238, 0.2323, 0.204, 0.1989, 0.2187]","[6, 6, 6, 6, 6]"
review_repair,warm,review.projection,5,0.3126,0.39875999999999995,"[0.419, 0.31779999999999997, 0.3126, 0.3073, 0.25880000000000003]","[2, 2, 2, 2, 2]"
review_repair,local_modified,native.close,5,9412.0554,9521.910600000001,"[9534.6386, 9364.0941, 9280.7736, 9412.0554, 9470.9986]","[29, 29, 29, 29, 29]"
review_repair,local_modified,native.execute,5,23490.0827,24064.26904,"[24107.9935, 23889.3712, 23104.788800000002, 23292.1167, 23490.0827]","[3, 3, 3, 3, 3]"
review_repair,local_modified,native.feature_com,5,7955.1234,8251.8971,"[8290.4184, 8097.8119, 7722.9758999999995, 7873.9239, 7955.1234]","[12, 12, 12, 12, 12]"
review_repair,local_modified,native.inspect,5,16492.8884,18082.997079999997,"[18431.853199999998, 16492.8884, 16201.7865, 16185.9553, 16687.5726]","[7, 7, 7, 7, 7]"
review_repair,local_modified,native.observation,5,1971.5872,2002.7755,"[1958.5329, 2007.4806, 1971.5872, 1983.9551, 1953.4378]","[1, 1, 1, 1, 1]"
review_repair,local_modified,native.open,5,10484.3797,10623.1129,"[10484.3797, 10464.9512, 10288.7148, 10492.4961, 10655.7671]","[17, 17, 17, 17, 17]"
review_repair,local_modified,native.projection,5,21792.6979,22267.95016,"[21792.6979, 21697.7241, 21408.9792, 21937.8556, 22350.4738]","[9, 9, 9, 9, 9]"
review_repair,local_modified,native.rebuild,5,693.3670999999999,707.2697000000001,"[707.8124, 705.0989, 693.3670999999999, 679.2845, 680.1609]","[12, 12, 12, 12, 12]"
review_repair,local_modified,native.save,5,1115.4165,1214.70184,"[1230.9944, 1149.5316, 1115.4165, 1080.9246, 1068.6167]","[6, 6, 6, 6, 6]"
review_repair,local_modified,observation.decide,5,1992.6844999999998,2022.9686199999999,"[1979.3449, 2027.5934, 1992.6844999999998, 2004.4695, 1974.0033]","[3, 3, 3, 3, 3]"
review_repair,local_modified,repair.prepare,5,0.2371,0.30682000000000004,"[0.3078, 0.3029, 0.2371, 0.2255, 0.204]","[1, 1, 1, 1, 1]"
review_repair,local_modified,repair.validate,5,1.0152999999999999,1.1955,"[1.2295, 1.0066, 1.0594999999999999, 1.0034, 1.0152999999999999]","[6, 6, 6, 6, 6]"
review_repair,local_modified,review.coverage,5,0.2343,0.29204,"[0.277, 0.2958, 0.1752, 0.2343, 0.1839]","[2, 2, 2, 2, 2]"
review_repair,local_modified,review.diff,5,0.2819,0.33404,"[0.3448, 0.2658, 0.2338, 0.2819, 0.291]","[6, 6, 6, 6, 6]"
review_repair,local_modified,review.projection,5,0.3853,0.47672000000000003,"[0.47640000000000005, 0.4768, 0.3629, 0.3853, 0.34850000000000003]","[2, 2, 2, 2, 2]"
